reference;price;quantity
000006;85.54;150
000007;31.8091;0
000008;31.8091;0
000009;31.8091;0
000010;31.8091;0
000011;42.7182;0
000012;42.7182;0
000013;42.7182;0
000014;42.7182;0
000015;42.7182;0
000018;44.5364;0
000019;44.5364;0
000020;44.5364;0
000021;44.5364;0
000022;44.5364;0
000023;44.5364;0
000024;44.5364;0
000025;29.9909;0
000026;29.9909;0
000027;29.9909;0
000028;29.9909;0
000029;29.9909;0
000030;29.9909;0
000031;29.9909;0
000032;29.9909;0
000033;29.9909;0
000034;29.9909;0
000035;29.9909;0
000036;29.9909;0
000037;29.9909;0
000040;113.6273;0
000041;113.6273;0
000042;113.6273;0
000043;127.8091;0
000044;127.8091;4
000045;127.8091;5
000046;127.8091;0
000047;127.8091;0
000048;127.8091;0
000049;127.8091;0
000050;127.8091;0
000052;127.8091;0
000054;127.8091;0
000055;127.8091;0
000056;127.8091;4
000057;51.3818;1
000058;51.3818;0
000059;51.3818;10
000061;51.3818;0
000062;51.3818;6
000064;51.3818;4
000065;51.3818;1
000066;51.3818;0
000067;51.3818;5
000068;51.3818;0
000069;51.3818;5
000070;51.3818;8
000072;21.8091;0
000073;21.8091;7
000074;21.8091;13
000075;21.8091;7
000076;21.8091;0
000077;21.8091;10
000078;21.8091;0
000079;21.8091;4
000080;21.8091;5
000081;21.8091;5
000082;21.8091;5
000083;21.8091;0
000084;21.8091;7
000085;21.8091;1
000086;21.8091;9
000087;47.2636;0
000088;47.2636;0
000092;64.9273;13
000093;64.9273;10
000094;64.9273;3
000095;64.9273;15
000096;64.9273;6
000101;124.4273;0
000102;124.4273;0
000103;67.2636;0
000104;67.2636;2
000112;40.9;0
000113;40.9;0
000114;40.9;0
000115;40.9;0
000116;40.9;0
000127;20.8182;0
000128;20.8182;0
000129;20.8182;0
000130;20.8182;0
000131;20.8182;27
000132;20.8182;0
000133;45.4455;14
000134;45.4455;0
000135;45.4455;3
000136;45.4455;0
000137;45.4455;20
000153;34.0909;18
000154;34.0909;0
000157;24.0727;0
000158;24.0727;0
000159;24.0727;2
000160;24.0727;1
000161;24.0727;8
000162;43.0455;2
000163;43.0455;1
000164;43.0455;0
000165;43.0455;0
000166;43.0455;0
000167;50.9;3
000168;50.9;6
000169;50.9;0
000170;50.9;7
000183;61.8182;0
000184;61.8182;0
000185;61.8182;0
000186;61.8182;0
000194;36.3545;4
000195;36.3545;0
000196;36.3545;0
000197;36.3545;0
000198;30.8909;0
000199;30.8909;0
000200;30.8909;0
000201;30.8909;0
000202;30.8909;0
000207;53.6273;0
000208;53.6273;0
000209;53.6273;0
000210;53.6273;0
000211;53.6273;0
000212;18.1727;7
000225;26.3545;0
000226;26.3545;0
000227;26.3545;0
000228;26.3545;0
000229;26.3545;0
000230;26.3545;10
000231;26.3545;9
000232;26.3545;8
000233;26.3545;0
000286;36.3545;0
000287;36.3545;0
000288;36.3545;0
000299;30.9;0
000300;30.9;0
000301;30.9;0
000302;30.9;0
000304;68.7364;10
000305;68.7364;9
000306;68.7364;0
000307;68.7364;0
000308;68.7364;9
000309;68.7364;17
000316;11.8091;0
000319;10.9;0
000332;27.2636;0
000333;27.2636;0
000334;27.2636;0
000335;27.2636;0
000336;49.9909;0
000337;49.9909;0
000338;49.9909;0
